chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,0,213345,0,0,0,0,0,4,0.0,0.0,0,Wesley,0.0,61,False,Permanent transfer to Stoke,2023-07-31T07:08:09.572672Z,50,213345.jpg,0.0,Moraes Ferreira da Silva,0.0,False,,u,2,7,0,0,0,785,0,0.0,0.0,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,791,98,790,98,787,98,792,98,,,,,,,0,0,0,0,0,0,196,46,758,89,791,98,732,100,0,0
100,100,244954,0,0,1,-1,1,2,0.0,0.0,0,Pau,0.0,584,False,,2024-01-06T01:00:10.913044Z,46,244954.jpg,3.4,Torres,3.2,False,,a,2,7,61,864012,2180,806474,1664,0.0,13.3,Pau,1517,2,0,4,20,0,0,0,1,0,0,4,308,313.2,122.2,103.0,53.9,16,0.88,0.54,1.42,21.75,141,51,194,43,196,44,186,50,,,,,,,0.05,0.0,0.03,0.08,1.29,1.19,347,48,708,252,105,18,103,38,0.95,0.24
100,100,243557,-1,1,-1,1,2,3,1.5,1.5,0,Moussa,1.5,599,False,,2023-09-30T23:00:09.545623Z,64,243557.jpg,4.0,Diaby,7.5,False,,a,2,7,91,2364193,1681,2322190,7602,0.2,14.2,Diaby,1441,4,7,5,23,0,0,0,0,0,0,5,267,321.6,421.5,488.0,123.0,18,4.90,2.80,7.70,20.10,132,58,37,30,29,16,38,26,,,,,,,0.31,0.0,0.17,0.48,1.26,1.44,53,30,212,103,52,33,52,19,1.12,0.31
,,549068,0,0,0,0,0,3,0.0,0.0,0,Omari,0.0,618,False,,,45,549068.jpg,0.0,Kellyman,0.1,False,,a,2,7,0,7114,20,7860,11,0.0,0.0,Kellyman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,752,312,751,313,741,309,757,314,,,,,,,0,0,0,0,0,0,486,290,694,275,755,314,516,179,0,0
0,0,462381,0,0,0,0,0,1,0.0,0.0,0,Filip,0.0,670,False,Joined Milton Keynes Dons on a season-long loan,2024-01-22T11:44:07.815159Z,40,462381.jpg,0.0,Marschall,0.0,False,,u,2,7,0,3154,0,2511,19,0.0,0.0,Marschall,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,597,75,584,58,542,47,602,75,,,,,,,0,0,0,0,0,0,717,55,479,67,606,74,574,73,0,0
100,100,245414,0,0,-1,1,0,3,0.2,0.2,0,Nicolò,0.2,672,False,,2024-02-05T14:00:09.603663Z,54,245414.jpg,1.2,Zaniolo,0.1,False,,a,2,7,18,13242,25,12368,14,0.0,3.3,Zaniolo,525,1,0,1,7,0,0,0,5,0,0,0,0,73.2,83.3,226.0,37.8,7,1.68,0.54,2.22,7.91,367,159,262,149,104,65,251,122,,,,,,,0.29,0.0,0.09,0.38,1.36,1.2,122,75,385,181,415,190,514,178,1.2,0.17
0,0,516159,0,0,0,0,0,1,0.0,0.0,0,Oliwier,0.0,686,False,On loan to Puszcza Niepolomice,2023-09-11T14:12:20.141802Z,40,516159.jpg,0.0,Zych,0.0,False,,u,2,7,0,6697,0,5875,8,0.0,0.0,Zych,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,620,83,607,66,568,55,625,83,,,,,,,0,0,0,0,0,0,746,63,503,75,629,82,517,70,0,0
,,171101,0,0,0,0,0,2,3.0,3.0,0,Clément,3.0,699,False,,,45,171101.jpg,3.3,Lenglet,0.2,False,,a,2,7,20,25640,818,10684,165,0.7,4.4,Lenglet,511,0,1,2,8,0,0,0,1,0,0,0,121,119.6,34.1,20.0,17.3,6,0.18,0.47,0.65,7.43,316,124,353,121,378,132,366,131,,,,,,,0.03,0.0,0.08,0.11,1.31,1.41,372,62,83,22,119,23,317,123,1.06,0.35
,,564505,0,0,0,0,0,1,0.0,0.0,0,Sam,0.0,765,False,,,40,564505.jpg,0.0,Proctor,0.0,False,,a,2,7,0,386,15,182,6,0.0,0.0,Proctor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,630,86,617,69,578,58,635,86,,,,,,,0,0,0,0,0,0,756,66,513,78,639,85,729,85,0,0
,,515599,0,0,0,0,0,3,0.0,0.0,0,Tommi,0.0,767,False,,,45,515599.jpg,0.0,O'Reilly,0.0,False,,a,2,7,0,230,10,109,5,0.0,0.0,O'Reilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,738,303,736,304,724,299,743,305,,,,,,,0,0,0,0,0,0,465,277,678,266,742,306,772,323,0,0
,,481283,0,0,0,0,0,1,0.0,0.0,0,James,0.0,778,False,,,40,481283.jpg,0.0,Wright,0.0,False,,a,2,7,0,162,15,41,6,0.0,0.0,Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,605,80,592,63,552,52,610,80,,,,,,,0,0,0,0,0,0,729,60,488,72,614,79,769,88,0,0
,,465390,0,0,0,0,0,2,0.0,0.0,0,Kaine,0.0,793,False,,,40,465390.jpg,0.0,Kesler-Hayden,0.0,False,,a,2,7,0,272,41,52,11,0.0,0.0,Kesler-Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,600,223,587,222,546,210,605,223,,,,,,,0,0,0,0,0,0,721,206,482,182,609,219,744,252,0,0
,,244850,0,0,0,0,0,3,0.5,0.5,0,Morgan,0.5,803,False,,,50,244850.jpg,1.0,Rogers,0.0,False,,a,2,7,1,332,20,79,10,0.1,0.2,Rogers,9,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,4.0,0.3,0,0.16,0.00,0.16,0.15,793,342,500,241,438,218,513,234,,,,,,,1.6,0.0,0.0,1.6,1.5,0.0,202,126,321,153,486,229,764,319,0.0,0.0
